ticker,data_symbol,index_bucket,beta,avg_volume,score,selection_date,usable_for_date
MOTHERSON,MOTHERSON.NS,NIFTY100,1.817,21447601,25.456861646519403,2026-03-31,2026-04-01
SHRIRAMFIN,SHRIRAMFIN.NS,NIFTY50,1.888,10291389,24.69647535503703,2026-03-31,2026-04-01
ADANIGREEN,ADANIGREEN.NS,NIFTY100,1.86,3243612,24.67343191640418,2026-03-31,2026-04-01
JIOFIN,JIOFIN.NS,NIFTY100,1.532,16858733,22.526577096187868,2026-03-31,2026-04-01
ADANIENSOL,ADANIENSOL.NS,NIFTY100,1.712,1849083,22.03915546297578,2026-03-31,2026-04-01
LT,LT.NS,NIFTY50,1.567,5009992,21.525211066026376,2026-03-31,2026-04-01
ADANIPORTS,ADANIPORTS.NS,NIFTY50,1.603,2915794,20.82050132961645,2026-03-31,2026-04-01
DLF,DLF.NS,NIFTY100,1.574,5614583,19.95022915134271,2026-03-31,2026-04-01
ADANIENT,ADANIENT.NS,NIFTY50,1.703,2140842,19.505168154622066,2026-03-31,2026-04-01
AMBUJACEM,AMBUJACEM.NS,NIFTY100,1.566,3577890,19.039019846275906,2026-03-31,2026-04-01
GODREJPROP,GODREJPROP.NS,NIFTY-MIDCAP,1.891,1368807,22.409955602871516,2026-03-31,2026-04-01
BANKINDIA,BANKINDIA.NS,NIFTY-MIDCAP,1.727,9350194,22.27908251936205,2026-03-31,2026-04-01
KALYANKJIL,KALYANKJIL.NS,NIFTY-MIDCAP,1.531,3382780,21.55486743367165,2026-03-31,2026-04-01
ASHOKLEY,ASHOKLEY.NS,NIFTY-MIDCAP,1.646,24063811,20.608029926587328,2026-03-31,2026-04-01
BHARATFORG,BHARATFORG.NS,NIFTY-MIDCAP,1.507,1461058,18.46090497485827,2026-03-31,2026-04-01
