ticker,data_symbol,index_bucket,beta,avg_volume,score,selection_date,usable_for_date
SHRIRAMFIN,SHRIRAMFIN.NS,NIFTY50,1.855,10314402,36.11521901295493,2026-01-02,2026-01-03
SAIL,SAIL.NS,NIFTY-MIDCAP,1.695,17349466,34.150600098854646,2026-01-02,2026-01-03
KALYANKJIL,KALYANKJIL.NS,NIFTY-MIDCAP,1.913,1759728,27.834734974259774,2026-01-02,2026-01-03
MOTHERSON,MOTHERSON.NS,NIFTY100,1.524,11228365,26.100634815856864,2026-01-02,2026-01-03
POONAWALLA,POONAWALLA.NS,NIFTY-MIDCAP,1.727,782010,25.83042639221393,2026-01-02,2026-01-03
COFORGE,COFORGE.NS,NIFTY-MIDCAP,2.024,2311839,25.583214843933924,2026-01-02,2026-01-03
INDUSINDBK,INDUSINDBK.NS,NIFTY50,1.523,2896119,25.122722641390798,2026-01-02,2026-01-03
DLF,DLF.NS,NIFTY100,1.725,1781723,24.792159968292488,2026-01-02,2026-01-03
ADANIGREEN,ADANIGREEN.NS,NIFTY100,1.677,1744734,24.58023166066802,2026-01-02,2026-01-03
ADANIENT,ADANIENT.NS,NIFTY50,1.692,855548,23.518748691958542,2026-01-02,2026-01-03
LODHA,LODHA.NS,NIFTY100,1.57,697707,20.883320520785396,2026-01-02,2026-01-03
